"School Name","Region"
"Clarkson Community High School","WA"
"Clayfield College","QLD"
"Clermont State High School","QLD"
"Cleve Area School","SA"
"Cleveland District State High School","QLD"
"Cleveland Education and Training Centre","QLD"
"Clifford Park Special School","QLD"
"Clifton State High School","QLD"
"Clonard College","VIC"
"Cloncurry State School P-12","QLD"
"Clontarf Aboriginal College","WA"
"Clontarf Beach State High School","QLD"
"Cloverdale Education Support Centre","WA"
"Coastal Lakes College","WA"
"Cobar High School","NSW"
"Cobden Technical School","VIC"
"Cobram and District Specialist School","VIC"
"Cobram Secondary College","VIC"
"Coburg High School","VIC"
"Coburg Special Developmental School","VIC"
"Cocos Islands District High School","WA"
"Coffs Harbour Bible Church School","NSW"
"Coffs Harbour Christian Community School","NSW"
"Coffs Harbour High School","NSW"
"Coffs Harbour Learning Centre","NSW"
"Coffs Harbour Senior College","NSW"
"Cohuna Secondary College","VIC"
"Colac Secondary College","VIC"
"Colac Specialist School","VIC"
"Coleambally Central School","NSW"
"Collarenebri Central School","NSW"
"College Row School","WA"
"Collie Senior High School","WA"
"Collingwood College","VIC"
"Collingwood English Language School","VIC"
"Collinsville State High School","QLD"
"Colo High School","NSW"
"Columba Catholic College","QLD"
"Colyton High School","NSW"
"Comet Bay College","WA"
"Comet CaRE School (Clarkson)","WA"
"Communicare Academy","WA"
"Communities@Work Galilee School","ACT"
"Como Secondary College","WA"
"Concord High School","NSW"
"Concord School","VIC"
"Concordia College","SA"
"Concordia Lutheran College","QLD"
"Condell Park Christian School","NSW"
"Condell Park High School","NSW"
"Condobolin High School","NSW"
"Conservatorium High School","NSW"
"Coober Pedy Area School","SA"
"Coodanup College","WA"
"Cook School","NSW"
"Cooktown State School","QLD"
"Coolah Central School","NSW"
"Coolamon Central School","NSW"
"Coolbellup Learning Centre","WA"
"Cooloola Christian College","QLD"
"Coolum Beach Christian College","QLD"
"Coolum State High School","QLD"
"Coomandook Area School","SA"
"Coombabah State High School","QLD"
"Coomealla High School","NSW"
"Coomera Anglican College","QLD"
"Coonabarabran High School","NSW"
"Coonamble High School","NSW"
"Coorparoo Secondary College","QLD"
"Cootamundra High School","NSW"
"Copperfield College","VIC"
"Coreen School","NSW"
"Corinda State High School","QLD"
"Cornerstone Christian College","WA"
"Cornerstone College","SA"
"Cornish College","VIC"
"Corowa High School","NSW"
"Corpus Christi Catholic High School","NSW"
"Corpus Christi College","WA"
"Corrigin District High School","WA"
"Corrimal High School","NSW"
"Corryong College","VIC"
"Cosgrove High School","TAS"
"Court Grammar School","WA"
"Covenant Christian School","NSW"
"Covenant Christian School","ACT"
"Covenant College","VIC"
"Cowell Area School","SA"
"Cowra High School","NSW"
"Craig Davis College","NSW"
"Craigieburn Secondary College","VIC"
"Craigmore High School","SA"
"Craigslea State High School","QLD"
"Cranbourne East Secondary College","VIC"
"Cranbourne Secondary College","VIC"
"Cranbrook School","NSW"
"Cranebrook High School","NSW"
"Cranleigh School","ACT"
"Creaney Education Support Centre","WA"
"Creek Street Christian College","VIC"
"Creekside K-9 College","VIC"
"Cressy District High School","TAS"
"Crestwood High School","NSW"
"Cromehurst School","NSW"
"Cronulla High School","NSW"
"Crookwell High School","NSW"
"Crossways Lutheran School","SA"
"Crow's Nest State School","QLD"
"Croxton Special School","VIC"
"Croydon Community School","VIC"
"Croydon Special Developmental School","VIC"
"Crusoe 7-10 Secondary College","VIC"
"Cumberland High School","NSW"
"Cummins Area School","SA"
"Cunderdin District High School","WA"
"Cunnamulla P-12 State School","QLD"
"Currawah Aboriginal Education Centre","NSW"
"Currimundi Special School","QLD"
"Currumbin Community Special School","QLD"
"Cyril Jackson Senior Campus","WA"
"Cyril Jackson Senior Campus Education Support Centre","WA"
"Dakabin State High School","QLD"
"Dalby Christian College","QLD"
"Dalby State High School","QLD"
"Dale Christian School","WA"
"Dalwallinu District High School","WA"
"Dalyellup College","WA"
"Damascus College","VIC"
"Dandenong High School","VIC"
"Dandenong Valley Special Developmental School","VIC"
"Danebank - An Anglican School for Girls","NSW"
"Dapto High School","NSW"
"Dara School","SA"
"Daramalan College","ACT"
"Darling Downs Christian School","QLD"
"Darling Point Special School","QLD"
"Darling Range Sports College","WA"
"Darul Ulum College of Victoria","VIC"
"Darwin High School","NT"
"Darwin Middle School","NT"
"David Scott School","VIC"
"Davidson High School","NSW"
"Daws Road Centre","SA"
"Daylesford Secondary College","VIC"
"De La Salle Catholic College, Caringbah","NSW"
"De La Salle Catholic College, Cronulla","NSW"
"De La Salle College","VIC"
"De La Salle College, Ashfield","NSW"
"De La Salle College, Revesby Heights","NSW"
"Deception Bay Flexible Learning Centre","QLD"
"Deception Bay State High School","QLD"
"Delany College","NSW"
"Deloraine High School","TAS"
"Deniliquin Christian School","NSW"
"Deniliquin High School","NSW"
"Denison College of Secondary Education, Bathurst High Campus","NSW"
"Denison College of Secondary Education, Kelso High Campus","NSW"
"Denmark Senior High School","WA"
"Derby District High School","WA"
"Derrinallum P-12 College","VIC"
"Devonport High School","TAS"
"Diamond Valley College","VIC"
"Diamond Valley Special Developmental School","VIC"
"Dianella Secondary College","WA"
"Dianella Secondary College Education Support Centre","WA"
"Dickson College","ACT"
"Dimboola Memorial Secondary College","VIC"
"Dimbulah State School","QLD"
"Dirranbandi P-10 State School","QLD"
"Discovery Christian College","QLD"
"Divine Mercy College","WA"
"Divrei Emineh","VIC"
